penalty_visit,penalty_position,ratio,scale,best_travel,mean_travel,n_vars_exported,max_abs_exported
656,420,1.2500,0.7500,30.0000,30.0000,257,127.0000
875,560,1.2500,1.0000,30.0000,30.0000,257,127.0000
1181,756,1.2500,1.3500,30.0000,30.0000,257,127.0000
1575,1008,1.2500,1.8000,30.0000,30.0000,257,127.0000
1085,452,1.5500,1.0000,30.0000,30.0000,257,127.0000
1465,610,1.5500,1.3500,30.0000,30.0000,257,127.0000
1953,813,1.5500,1.8000,30.0000,30.0000,257,127.0000
814,339,1.5500,0.7500,31.0000,31.0000,257,127.0000
597,248,1.5500,0.5500,32.0000,32.0000,257,127.0000
308,481,0.8000,0.5500,33.0000,33.0000,257,127.0000
420,656,0.8000,0.7500,33.0000,33.0000,257,127.0000
560,875,0.8000,1.0000,33.0000,33.0000,257,127.0000
756,1181,0.8000,1.3500,33.0000,33.0000,257,127.0000
1008,1575,0.8000,1.8000,33.0000,33.0000,257,127.0000
341,808,0.6500,0.7500,33.0000,33.0000,257,127.0000
455,1077,0.6500,1.0000,33.0000,33.0000,257,127.0000
614,1454,0.6500,1.3500,33.0000,33.0000,257,127.0000
819,1938,0.6500,1.8000,33.0000,33.0000,257,127.0000
250,592,0.6500,0.5500,34.0000,34.0000,257,127.0000
385,385,1.0000,0.5500,36.0000,36.0000,257,127.0000
525,525,1.0000,0.7500,36.0000,36.0000,257,127.0000
700,700,1.0000,1.0000,36.0000,36.0000,257,127.0000
945,945,1.0000,1.3500,36.0000,36.0000,257,127.0000
1260,1260,1.0000,1.8000,36.0000,36.0000,257,127.0000
481,308,1.2500,0.5500,36.0000,36.0000,257,127.0000
